manifest	status	entry_path	sha256	source_branch	source_path	blob_sha1	commit	byte_identical
149	VERIFIED_PRESENT	README.md	a138d5670f2f994eaebd9395edced4ab787f2c7da7d84170be1b3b291d25f7b8	conflict_100826_1941	handoff/README.md	edd5d6b40763cd735c5c12cf3941e0ea1f323b33	9a752aec36c4	YES
149	VERIFIED_PRESENT	STATE_MATRIX_v3_2026-08-10.md	15106b1cadd5685d3349f43cb944c30e65b147b8083db9b9654d6c5917ad8b20	conflict_100826_1941	handoff/STATE_MATRIX_v3_2026-08-10.md	c105434d1b87aeab6bb7fe73b0c54bc600275bf1	9a752aec36c4	YES
149	VERIFIED_PRESENT	STATE_MATRIX_v4_2026-08-10.md	04de930b29e88ab04bcb722d2ecd199520391032fa40773d6a5be8f41c7095da	conflict_100826_2113	handoff/STATE_MATRIX_v4_2026-08-10.md	1a401b567657bc4b71d924318f598b5d2b2e181c	b9d27229a86d	YES
149	VERIFIED_PRESENT	STATE_MATRIX_v5_2026-08-11.md	ca1c4c069c8bc20fc46d6fe84ecd492acbe8d81fe94bb97e3266513494a704a5	conflict_100826_2258	handoff/STATE_MATRIX_v5_2026-08-11.md	670d8ce0f38770c1ac9fb1dd9c6dba566262b156	12c88633121e	YES
149	VERIFIED_PRESENT	STATE_MATRIX_v6_2026-08-11.md	db9fe9d1e435c44fba03e0f59681603ad52084c440ce139e86238fcf30e232c6	conflict_100826_2258	handoff/STATE_MATRIX_v6_2026-08-11.md	3009343051d2d2627f6519f711b8b3e46654d1e7	12c88633121e	YES
149	VERIFIED_PRESENT	STATE_MATRIX_v7_2026-08-11.md	bf83d4a2e6f4cd67fc96b8427052054acbaf4fd7d55df23dfabca0f175aff9ad	conflict_100826_2258	handoff/STATE_MATRIX_v7_2026-08-11.md	b1b227ddfbb10b85dd5b1d44d94cb5b3345b61ab	12c88633121e	YES
149	VERIFIED_PRESENT	STATE_REPORT_2026-08-10.md	f7d3cddb64b99706fd552014f8c5740912ba8453d840baacaebaa2e32041ecb1	conflict_100826_1941	handoff/STATE_REPORT_2026-08-10.md	5c9c09fa2389359894da5547a8b9fdfcc9e26126	9a752aec36c4	YES
149	VERIFIED_PRESENT	candidates/B-prime-r2-provider-signout.patch	af55ecf502c7828dec8b78b75cfefd0404bbdf00e4be6531948c5303c09e5a48	conflict_100826_2258	handoff/candidates/B-prime-r2-provider-signout.patch	2b83d6d1159ad15a005c27762b34e35a3e614c2b	12c88633121e	YES
149	VERIFIED_PRESENT	candidates/C-prime-r2-lockfile-reproducibility.patch	ea3eb8ed962753db7b5d6846c9b90bd7d2b5da7cecc397f9be088e49da8d3456	conflict_100826_2113	handoff/candidates/C-prime-r2-lockfile-reproducibility.patch	169fed0ff651bf6a942b8839fbfae75bd6e8d3e0	b9d27229a86d	YES
149	VERIFIED_PRESENT	candidates/local-branches-2026-08-10.bundle	997608350901f1e5ad7c6a86dc4a3a68bf623c93074854d892fd0f7b94a8296f	conflict_100826_1941	handoff/candidates/local-branches-2026-08-10.bundle	05fff9e55eccdc2bd7de98fdca51a18169ca66e6	9a752aec36c4	YES
